StationNumber,StationName,Alt,longitude,latitude,County,Address,datatime,Auto
C0K250,崙背,12,120.3189,23.7556,雲林縣,崙背鄉阿勸村阿勸農場(阿勸段487號),2016/1/1,1
C0K280,四湖,23,120.2271,23.6304,雲林縣,四湖鄉湖西村中正路766號(四湖國民中學內),1993/3/1,1
C0K291,宜梧,8,120.1693,23.5363,雲林縣,口湖鄉湖口村170號央廣口湖分台內(憲兵排樓頂),2010/9/27,1
C0K330,虎尾,38,120.442,23.7192,雲林縣,虎尾鎮林森路一段64號(中正國民小學內),1993/3/1,1
C0K390,土庫,31,120.3956,23.679,雲林縣,土庫鎮建國路41號(土庫消防分隊),2015/7/3,1
C0K400,斗六,65,120.5411,23.7206,雲林縣,斗六市鎮北路345-1號(斗六消防分隊),2015/7/3,1
C0K410,北港,20,120.2928,23.574,雲林縣,北港鎮大同路565號(北港消防分隊),2015/7/3,1
C0K420,西螺,42,120.4674,23.8004,雲林縣,西螺鎮公正路211號(西螺消防分隊),2015/7/3,1
C0K430,褒忠,30,120.3036,23.6909,雲林縣,褒忠鄉中正路451號(褒忠鄉公所),2015/7/3,1
C0K440,二崙,35,120.4089,23.7728,雲林縣,二崙鄉中正路80號(二崙消防分隊),2016/1/1,1
C0K450,大埤,35,120.4315,23.6461,雲林縣,大埤鄉中山路8號(大埤鄉公所),2015/7/3,1
C0K460,斗南,60,120.4784,23.6787,雲林縣,斗南鎮延平路二段266號(斗南鎮停一立體停車場),2015/7/3,1
C0K470,林內,97,120.6096,23.7487,雲林縣,林內鄉中正路685號(林內消防分隊),2016/1/1,1
C0K480,莿桐,56,120.5024,23.7612,雲林縣,莿桐鄉和平路53號(莿桐鄉公所),2016/1/1,1
C0K490,古坑,91,120.5598,23.6543,雲林縣,古坑鄉中山路393號(古坑消防分隊),2015/7/3,1
C0K500,元長,12,120.315,23.6498,雲林縣,元長鄉長南村仁愛街2號(元長鄉公所),2015/7/3,1
C0K510,水林,10,120.246,23.5729,雲林縣,水林鄉水北村水林路12號(水林鄉公所),2015/7/3,1
C0K520,雲林東勢,10,120.1548,23.6744,雲林縣,東勢鄉東南村所前街3號(東勢鄉公所),2015/7/3,1
C0K530,臺西,12,120.1976,23.7015,雲林縣,台西鄉中山路110巷38號(臺西消防分隊),2015/7/3,1
C0K550,蔦松,15,120.2297,23.5143,雲林縣,水林鄉松中村蔦松路213號(蔦松國小),2016/1/1,1
C0K560,棋山,117,120.6034,23.6865,雲林縣,古坑鄉棋盤村棋山49號(棋山國小),2016/1/1,1
C0K580,高鐵雲林,26,120.4179,23.7375,雲林縣,虎尾鎮站前東路301號(高鐵雲林站外),2017/8/1,1
C0M410,馬頭山,245,120.582,23.3244,嘉義縣,大埔鄉永樂村1鄰內灣仔2號,1988/12/1,1
C0M520,東後寮,15,120.2481,23.3699,嘉義縣,義竹鄉東光村7號(台糖東後寮農場),2015/7/3,1
C0M530,奮起湖,1385,120.6993,23.4939,嘉義縣,竹崎鄉阿里山事業區148林班地(中興苗圃內),1993/3/1,1
C0M640,中埔,155,120.5229,23.4254,嘉義縣,中埔鄉中埔村128號(中埔鄉公所),2015/7/3,1
C0M650,朴子,20,120.239,23.4346,嘉義縣,朴子市竹村里36號(竹村國小),2015/7/3,1
C0M660,溪口,40,120.4036,23.6041,嘉義縣,溪口鄉中正東路103號(溪口國中學生活動中心),2015/7/3,1
C0M670,大林,43,120.4584,23.6006,嘉義縣,大林鎮新興街110號(大林地政事務所),2015/7/3,1
C0M680,太保,37,120.3315,23.4551,嘉義縣,太保市太保里31號(太保市圖書館),2015/7/3,1
C0M690,水上,33,120.3889,23.4197,嘉義縣,水上鄉三鎮村三鎮路119號(水上消防分隊),2015/7/3,1
C0M700,竹崎,150,120.5555,23.5262,嘉義縣,竹崎鄉竹崎村舊車站79號(竹崎消防分隊),2015/7/3,1
C0M710,東石,15,120.1539,23.4589,嘉義縣,東石鄉東石村3號(東石鄉公所),2015/7/3,1
C0M720,番路,225,120.5542,23.4647,嘉義縣,番路鄉下坑村蔡公店101號(番路鄉公所),2015/7/3,1
C0M730,嘉義市東區,40,120.4605,23.4577,嘉義市,親水路123?號(第五河川局水情中心),2015/7/3,1
C0M740,六腳,15,120.2906,23.4929,嘉義縣,六腳鄉蒜頭村73-2號(六腳消防分隊),2015/7/3,1
C0M750,布袋,10,120.1678,23.3809,嘉義縣,布袋鎮龍江里2-2號(布袋消防分隊),2015/7/3,1
C0M760,民雄,40,120.4285,23.5518,嘉義縣,民雄鄉文化路7號(民雄鄉公所),2015/7/3,1
C0M770,嘉義梅山,164,120.5556,23.5854,嘉義縣,梅山鄉中山路282號(梅山鄉公所),2015/7/3,1
C0M780,鹿草,30,120.3084,23.4113,嘉義縣,鹿草鄉西井村287號(鹿草鄉公所),2015/7/3,1
C0M790,新港,15,120.3457,23.5533,嘉義縣,新港鄉公園路28號(新港消防分隊),2015/7/3,1
C0M800,茶山,440,120.6648,23.2991,嘉義縣,阿里山鄉茶山路62號之1(茶山村衛生室),2016/1/1,1
C0M810,里佳,1354,120.7166,23.3891,嘉義縣,阿里山鄉里佳村,2016/1/1,1
C0M820,達邦,980,120.7495,23.454,嘉義縣,阿里山鄉達邦村21號(鄒族自然與文化中心),2016/1/1,1
C0M830,山美,540,120.6682,23.3838,嘉義縣,阿里山鄉山美村(原阿里山鄉農會山美辦事處),2016/1/1,1
C0M850,表湖,695,120.6417,23.2419,嘉義縣,大埔鄉溪頭段1地號,2018/2/14,1
C0O810,曾文,161,120.4973,23.2197,臺南市,楠西區曾文新村(曾文水庫管理局內),1988/12/1,1
C0O830,北寮,127,120.495,23.0796,臺南市,南化區北寮里48-4號,2013/4/18,1
C0O840,王爺宮,134,120.4009,23.2221,臺南市,六甲區王爺里24號（六甲國小湖東分校）,2013/12/1,1
C0O860,大內,38,120.3608,23.1189,臺南市,大內區74201大內里63號(大內國民小學),2013/8/1,1
C0O900,善化,9,120.2972,23.1129,臺南市,善化區益民寮60號(亞洲蔬菜研究發展中心內),1988/12/1,1
C0O930,玉井,69,120.4606,23.126,臺南市,玉井區台灣糖業公司玉井糖廠,1988/12/1,1
C0O950,安南,4,120.1449,23.0767,臺南市,安南區公學路6段589號(學東國民小學內),2013/8/1,1
C0O960,崎頂,112,120.3693,22.9595,臺南市,龍崎區中坑里5鄰13號,2013/4/18,1
C0O970,虎頭埤,71,120.3479,23.0214,臺南市,新化區口埤18號(新化分場),2013/8/1,1
C0O980,新市,18,120.2982,23.0616,臺南市,新市區永就里53號(番子寮農場),2013/8/1,1
C0O990,媽廟,18,120.2935,22.9918,臺南市,歸仁區中正北路3段60號(保西國民小學內),2013/12/1,1
C0R100,尾寮山,1006,120.6839,22.8331,屏東縣,三地門鄉口社檢查站車程約2小時(尾寮山瞭望台旁),1992/5/1,1
C0R130,阿禮,1040,120.7437,22.7429,屏東縣,霧台鄉(屏東事業區第46林班)由山地文化村開車約2小時需徒步轉波站前面,2013/8/1,1
C0R140,瑪家,740,120.6866,22.6829,屏東縣,瑪家鄉瑪家村4鄰24號(後山),2013/8/1,1
C0R150,三地門,105,120.6399,22.7099,屏東縣,內埔鄉水門村成功路83號(國立內埔高級農工職業學校內),1992/5/1,1
C0R160,鹽埔新圍,45,120.5308,22.7396,屏東縣,鹽埔鄉彭厝國民小學校園,2013/12/1,1
C0R170,屏東,26,120.4941,22.6603,屏東縣,屏東市復興路245號(台灣糖業公司屏東區處場區內),2013/12/1,1
C0R190,赤山,32,120.6143,22.5923,屏東縣,萬巒鄉建興路40號（赤山國小）,2013/12/1,1
C0R220,潮州,23,120.54,22.5344,屏東縣,潮州鎮光春路290號(屏東縣立光春國民中學內),1992/5/1,1
C0R240,來義,87,120.6251,22.5273,屏東縣,萬巒鄉新隆路64號萬巒農場（佳佐段180號）,2013/12/1,1
C0R260,春日,76,120.6283,22.3704,屏東縣,春日鄉鄉公所資源回收場旁,2013/12/1,1
C0R270,琉球嶼,51,120.3622,22.3322,屏東縣,琉球鄉天台段596及597地號,1997/7/1,1
C0R280,檳榔,242,120.8368,22.0761,屏東縣,滿州鄉長樂村大公路14號(往南仁山方向),1997/7/1,1
C0R320,車城,7,120.7161,22.074,屏東縣,車城鄉福興村中山路66號(車城國小),2019/11/28,1
C0R341,牡丹,230,120.7926,22.13,屏東縣,199縣道23K-23.5K間車城往旭海方向之右側,2019/11/28,1
C0R350,貓鼻頭,35,120.7358,21.9218,屏東縣,恆春鎮(貓鼻頭風景區內),1997/7/1,1
C0R420,牡丹池山,504,120.8406,22.1678,屏東縣,牡丹鄉電信轉播臺旁步行約3分鐘(恆春事業區21林班地),1999/4/15,1
C0R440,大漢山,1654,120.7532,22.4053,屏東縣,春日鄉大漢山頂,2019/11/28,1
C0R470,高樹,103,120.6008,22.8264,屏東縣,高樹鄉興中路329號(高樹鄉公所),2013/8/1,1
C0R480,長治,57,120.5426,22.6931,屏東縣,長治鄉德成村中興路572-1號(長治消防分隊),2013/8/1,1
C0R490,九如,49,120.4905,22.7405,屏東縣,九如鄉九如路二段416號(九如鄉公所),2013/8/1,1
C0R510,萬丹,31,120.4904,22.5878,屏東縣,萬丹鄉萬安村和平東路69號(萬丹消防分隊),2013/8/1,1
C0R520,崁頂,18,120.5069,22.5148,屏東縣,崁頂鄉崁頂村興農路20之10號(崁頂消防分隊),2013/8/1,1
C0R530,林邊,16,120.51,22.4308,屏東縣,林邊鄉光林村和平路45號(林邊鄉衛生所),2013/8/1,1
C0R540,佳冬,17,120.5524,22.4195,屏東縣,佳冬鄉佳昌路2號(佳冬鄉公所),2013/8/1,1
C0R550,新埤,38,120.5829,22.4679,屏東縣,新埤鄉民眾路103號(新埤消防分隊),2013/8/1,1
C0R560,新園,22,120.4616,22.5434,屏東縣,新園鄉仙吉村店口路116號(新園消防分隊),2013/8/1,1
C0R570,麟洛,37,120.5272,22.6508,屏東縣,麟洛鄉中山路158號(麟洛鄉公所),2013/12/1,1
C0R580,南州,10,120.5027,22.4859,屏東縣,南州鄉溪南村人和路241號(南州消防分隊),2013/8/1,1
C0R590,里港,72,120.4946,22.7792,屏東縣,里港鄉永春村中山路104號(里港鄉公所),2013/8/1,1
C0R600,舊泰武,766,120.6649,22.5882,屏東縣,泰武鄉泰武村良武巷101號(舊泰武村老人活動中心),2013/12/1,1
C0R620,墾雷,34,120.8553,21.9008,屏東縣,恆春鎮燈塔路51巷33號(氣象局墾丁雷達站區內),2016/6/22,1
C0R640,東港,21,120.4407,22.4625,屏東縣,東港鎮豐漁里豐漁街67號（水產試驗所東港生技研究中心）,2018/8/11,1
C0R650,竹田,29,120.5434,22.5849,屏東縣,竹田鄉中正路123號(竹田鄉公所清潔隊),2018/8/11,1
C0R660,枋寮,20,120.5906,22.3677,屏東縣,枋寮鄉枋寮村德興路197號(枋寮國小),2019/11/28,1
C0R670,楓港,26,120.6922,22.1901,屏東縣,枋山鄉善餘村光復路24號(楓港國小),2019/11/28,1
C0R680,佳樂水,13,120.8616,21.9936,屏東縣,滿州鄉佳樂水風景區內,2019/11/28,1
C0R690,墾丁,348,120.8103,21.9668,屏東縣,恆春鎮墾丁森林遊樂區林業試驗所觀測坪,2019/11/28,1
C0R700,枋山,19,120.6611,22.2468,屏東縣,枋山鄉中山路三段52號(加祿國小),2019/11/28,1
C0R720,旭海,214,120.8876,22.2054,屏東縣,牡丹鄉旭海大草原步道旁,2019/11/28,1
C0S660,下馬,794,121.0703,23.1504,臺東縣,海端鄉廢棄下馬派出所旁,2019/6/7,1
C0S680,紅葉山,1659,121.0392,22.9198,臺東縣,延平鄉紅葉山瞭望臺旁(延平林道23k處步行約50分鐘),1997/7/1,1
C0S690,太麻里,522,120.9853,22.609,臺東縣,太麻里鄉(往金針山茶區之半路上),1997/7/1,1
C0S700,知本,507,121.0056,22.6849,臺東縣,卑南鄉溫泉村(溫泉國小之樂山分校內),1997/7/1,1
C0S710,鹿野,382,121.123,22.9177,臺東縣,鹿野鄉鹿野高台高眺亭公廁東側草地上,1997/7/1,1
C0S730,綠島,110,121.4753,22.6672,臺東縣,綠島鄉,1997/7/1,1
C0S740,池上,289,121.2095,23.1196,臺東縣,池上鄉新興村104號(退輔會臺東農場內),1997/7/1,1
C0S750,向陽,2280,120.9861,23.2484,臺東縣,海端鄉向陽(公路局向陽工務段圍牆內),1997/7/1,1
C0S760,紅石,1621,121.1262,23.0691,臺東縣,海端鄉紅石(紅石瞭望臺旁),1997/7/1,1
C0S770,大溪山,375,120.9433,22.4785,臺東縣,太麻里鄉多良村(廢棄中華電信轉播站旁),1997/7/1,1
C0S790,金崙,236,120.9669,22.5381,臺東縣,太麻里鄉金崙段0304-1地號,2004/6/1,1
C0S810,東河,65,121.304,22.9727,臺東縣,東河鄉北東河17鄰26號(東河國民小學操場旁),2004/6/1,1
C0S830,長濱,288,121.412,23.2868,臺東縣,長濱鄉竹湖村移民橋後方山頂三角點旁,2004/6/1,1
C0S840,南田,22,120.8892,22.2797,臺東縣,達仁鄉南田村南田風景區公園對面,2004/6/1,1
C0S890,關山,238,121.175,23.0395,臺東縣,關山鎮親水公園內,2016/1/1,1
C0S900,蘭嶼高中,27,121.5121,22.0491,臺東縣,蘭嶼鄉椰油村37號（蘭嶼高中內）,2018/10/26,1
C0S910,蘭嶼燈塔,212,121.4951,22.083,臺東縣,蘭嶼鄉椰油段1-7地號（蘭嶼燈塔旁）,2018/10/26,1
C0S920,金峰嘉蘭,133,120.9609,22.5988,臺東縣,金峰鄉嘉蘭村12鄰665號(金峰鄉嘉蘭村活動中心),2019/7/5,1
C0S930,延平,248,121.0841,22.9026,臺東縣,臺東縣延平鄉昇平路75號(延平消防分隊),2019/7/5,1
C0S940,石寧山,150,121.4066,23.2238,臺東縣,長濱鄉寧埔村石寧山附近山區,2019/7/5,1
C0S950,七塊厝,415,121.2299,22.9545,臺東縣,東河鄉尚德村七塊厝產業道路附近山區,2019/7/5,1
C0S960,香蘭,32,120.9934,22.5876,臺東縣,太麻里鄉香蘭村四鄰28號?(香蘭國小),2019/11/28,1
C0S970,加津林,19,120.9269,22.4162,臺東縣,大武鄉大竹村14鄰加津林4號(舊高溪派出所),2019/7/5,1
C0S980,勝林山,903,120.8938,22.4304,臺東縣,達仁鄉勝林山山頂停機坪旁(與大武鄉交界附近),2019/7/5,1
C0S990,山豬窟,409,120.8574,22.3186,臺東縣,大武鄉南興村山豬窟產業道路附近山區(梅園涼亭旁),2019/7/5,1
C0SA00,歷坵,466,120.8919,22.521,臺東縣,金峰鄉歷坵產業道路附近山區,2019/7/5,1
C0SA10,檳榔四格山,411,121.1093,22.81,臺東縣,卑南鄉檳榔四格山山頂瞭望臺旁,2019/7/5,1
C0SA20,金崙山,857,120.9597,22.5674,臺東縣,太麻里鄉富山產業道路附近山區(與金峰鄉交界附近),2019/7/5,1
C0SA30,都歷,93,121.3236,23.0203,臺東縣,成功鎮新村路25號(東部海岸國家風景區管理處),2019/7/5,1
C0SA40,瑞和,200,121.1567,22.9744,臺東縣,鹿野鄉瑞和村瑞景路3段1號(瑞源國中),2019/7/5,1
C0SA80,土?,136,120.8875,22.4529,臺東縣,達仁鄉土?村1鄰10號(土?國民小學操場旁),2019/6/7,1
C0T790,大禹嶺,2830,121.3161,24.1861,花蓮縣,秀林鄉立霧溪事業區67林班地(救國團大禹山莊),1996/1/1,1
C0T820,天祥,550,121.4956,24.1796,花蓮縣,秀林鄉立霧溪事業區80林班地(天祥祥德寺),1996/1/1,1
C0T870,鯉魚潭,135,121.5089,23.9356,花蓮縣,壽豐鄉池南村池南路一段8號(鯉魚潭風景區旁),1996/1/1,1
C0T900,西林,160,121.4415,23.8119,花蓮縣,萬榮鄉西林路8鄰114號(西林國民小學運動場旁),2010/7/1,1
C0T960,光復,120,121.425,23.6607,花蓮縣,光復鄉大進村糖廠街19號(台糖公司花蓮光復糖廠內),1996/1/1,1
C0T9A0,月眉山,498,121.5398,23.8099,花蓮縣,壽豐鄉月眉山旁的小山丘上(過米棧大橋往山上水璉方向至四號橋左轉之山上),2000/10/1,1
C0T9B0,水源,558,121.5372,23.9919,花蓮縣,秀林鄉原林務局水源段的苗圃內,2000/10/1,1
C0T9D0,和中,8,121.741,24.2668,花蓮縣,秀林鄉秀林村62號(和平國小和中分校校園內),2004/6/1,1
C0T9E0,大坑,415,121.582,23.8806,花蓮縣,壽豐鄉10鄰山嶺80之1號(中華電信公司賀田山機房)旁,2004/6/1,1
C0T9F0,水璉,251,121.5425,23.7971,花蓮縣,壽豐鄉水璉村,2004/6/1,1
C0T9G0,鳳林山,605,121.4201,23.7353,花蓮縣,鳳林鎮,2004/6/1,1
C0T9H0,加路蘭山,725,121.5274,23.6829,花蓮縣,豐濱鄉臨海段776-4號,2004/6/1,1
C0T9I0,豐濱,152,121.5148,23.5839,花蓮縣,豐濱鄉豐濱村,2004/6/1,1
C0T9M0,靜浦,92,121.495,23.4552,花蓮縣,豐濱鄉靜浦村活動中心後山上,1997/7/1,1
C0T9N0,富里,261,121.2494,23.1716,花蓮縣,富里鄉永安街52號(富里國小),2019/7/5,1
C0U520,雙連埤,517,121.6413,24.753,宜蘭縣,員山鄉雙連埤地區(需徒步20分鐘),2010/7/1,1
C0U600,礁溪,10,121.7655,24.8175,宜蘭縣,礁溪鄉礁溪路四段23號(礁溪國民中學教室後宿舍旁),1996/1/1,1
C0U650,玉蘭,442,121.5871,24.6753,宜蘭縣,大同鄉松羅村鹿場路11號(往松羅山頂瞭望亭旁),1996/1/1,1
C0U710,太平山,1942,121.5257,24.5055,宜蘭縣,大同鄉太平山93林班地(林務局路標22.3k處),1996/1/1,1
C0U720,南山,1260,121.3817,24.4374,宜蘭縣,大同鄉南山村4鄰埤南巷31-3號(南山國民小學內),2018/3/23,1
C0U750,龜山島,398,121.9531,24.8417,宜蘭縣,頭城鎮龜山島山頂401高地觀景台,2002/9/13,1
C0U760,東澳,22,121.8332,24.522,宜蘭縣,南澳鄉東岳村蘇花路三段209號(東澳國小校園內),2004/6/1,1
C0U770,南澳,5,121.8102,24.4494,宜蘭縣,南澳鄉中央氣象局地震中心系統維護課之南澳地震站,2005/10/1,1
C0U780,五結,15,121.7979,24.6864,宜蘭縣,五結鄉五結中路二段88號(五結國小),2010/7/1,1
C0U860,頭城,5,121.8308,24.8532,宜蘭縣,頭城鎮協天路468號(中華電信頭城海纜站內),2017/12/1,1
C0U870,大礁溪,474,121.6751,24.791,宜蘭縣,礁溪鄉二結村一鄰9-1號(國立宜蘭大學實驗林場),2017/12/1,1
C0U890,三星,116,121.653,24.6681,宜蘭縣,三星鄉月眉街54號(三星國中),2017/12/1,1
C0U900,內城,63,121.6877,24.7181,宜蘭縣,員山鄉內城路545號(內城國民中小學),2017/12/1,1
C0U910,冬山,17,121.7937,24.6337,宜蘭縣,冬山鄉冬山路98-5號(冬山消防分隊),2017/12/1,1
C0U940,羅東,25,121.7493,24.6818,宜蘭縣,羅東鎮羅東運動公園南側(北成路二段停車場旁自行車道入口),2017/12/1,1
C0U950,鶯子嶺,1012,121.7924,24.8975,宜蘭縣,頭城鎮鶯子嶺通信站區內,2017/12/1,1
C0U960,翠峰湖,1885,121.608,24.5109,宜蘭縣,大同鄉太平山翠峰湖停車場木棧道旁,2018/3/23,1
C0U970,大福,7,121.8139,24.8006,宜蘭縣,壯圍鄉大福路一段62巷26號(大福國小),2017/12/1,1
C0U980,坪林石牌,573,121.774,24.8648,宜蘭縣,頭城鎮與新北市坪林區交界附近之國有林班地(位於坪林石牌附近山區),2017/12/1,1
C0U990,員山,31,121.7225,24.7444,宜蘭縣,員山鄉員山村復興路39號(員山國小),2017/12/1,1
C0UA00,土場,392,121.4953,24.5765,宜蘭縣,大同鄉土場,2018/3/23,1
C0UA10,鴛鴦湖,1711,121.4122,24.5903,宜蘭縣,大同鄉100線林道約15K(太平山事業區32林班內，鴛鴦湖工作站旁空地),2018/3/23,1
C0UA20,多加屯,2619,121.3732,24.3686,宜蘭縣,大同鄉南湖大山指標8.4K處(多加屯避難山屋附近),2017/12/28,1
C0UA30,白嶺,1397,121.519,24.5278,宜蘭縣,大同鄉太平山白嶺苗圃內,2018/3/23,1
C0UA40,西德山,1121,121.7526,24.5606,宜蘭縣,南澳鄉安平坑林道(力霸產業道路)附近山區(南澳事業區28林班內),2018/5/9,1
C0UA50,西帽山,808,121.8026,24.5554,宜蘭縣,南澳鄉台泥大白山運石道附近山區(羅東事業區96林班內),2018/5/9,1
C0UA60,樟樹山,566,121.7833,24.4139,宜蘭縣,南澳鄉武塔村樟樹山附近山區,2018/3/23,1
C0UA70,桃源谷,547,121.8889,24.9626,宜蘭縣,頭城鎮及新北市貢寮區交界之桃源谷附近空地,2018/3/23,1
C0V210,復興,734,120.8061,23.2224,高雄市,桃源區復興里復興巷1鄰15號,2013/4/18,1
C0V250,甲仙,298,120.5918,23.0801,高雄市,甲仙區(甲仙國民中學操場後方小山丘上),1992/5/1,1
C0V260,月眉,126,120.5399,22.971,高雄市,杉林區月眉里山仙路1號月眉農場,2013/8/1,1
C0V310,美濃,46,120.5192,22.8987,高雄市,美濃區福安里中山路二段204巷65號(美濃區福安國小後方),1992/5/1,1
C0V350,溪埔,36,120.4468,22.7386,高雄市,大樹區溪埔里之台29線近83K處,2013/12/1,1
C0V360,內門,94,120.4668,22.9755,高雄市,內門區木柵里木柵3號（木柵國民小學）,2013/12/1,1
C0V370,古亭坑,74,120.4019,22.8932,高雄市,田寮區古亭里,1992/5/1,1
C0V400,阿公店,56,120.3555,22.8042,高雄市,燕巢區西燕里工程路1號（阿公店水庫內）,2013/12/1,1
C0V440,鳳山,27,120.3561,22.6467,高雄市,鳳山區文山路園藝巷4號（鳳山熱帶園藝試驗分所）,2013/12/1,1
C0V450,鳳森,51,120.3926,22.5451,高雄市,小港區水庫段96-1地號（鳳山給水廠內）,2013/12/1,1
C0V490,新興,20,120.2988,22.6274,高雄市,新興區大同一路231號(大同國小內5樓頂),2009/12/1,1
C0V500,旗津,6,120.2859,22.5886,高雄市,旗津區中洲二路207號(旗津國中校園內),2009/12/1,1
C0V530,阿蓮,34,120.3275,22.8832,高雄市,阿蓮區公所樓頂,2013/8/1,1
C0V610,梓官,22,120.2672,22.7606,高雄市,梓官區梓官路258號(梓官區公所),2013/12/1,1
C0V620,永安,18,120.2369,22.8232,高雄市,永安區永安路32號(永安消防分隊),2013/12/1,1
C0V630,茄萣,19,120.1826,22.9066,高雄市,茄萣區濱海路四段27號(茄萣區公所),2013/12/1,1
C0V640,湖內,35,120.2445,22.8871,高雄市,湖內區中山路一段290之1號(湖街派出所),2013/12/1,1
C0V650,彌陀,28,120.2464,22.7838,高雄市,彌陀區中正北路7號(彌陀消防分隊),2013/12/1,1
C0V660,岡山,25,120.295,22.7971,高雄市,岡山區岡山路341號(岡山地政事務所),2013/12/1,1
C0V670,楠梓,20,120.286,22.7198,高雄市,楠梓區德民路1010號(國昌國民中學),2013/12/1,1
C0V680,仁武,40,120.3477,22.7011,高雄市,仁武區中正路133號(仁武區公所),2013/12/1,1
C0V690,鼓山,30,120.2756,22.6233,高雄市,鼓山區臨海一路61-1號(鼓山消防分隊),2013/12/1,1
C0V700,三民,24,120.3112,22.645,高雄市,三民區十全一路88號(十全消防分隊),2013/12/1,1
C0V710,苓雅,34,120.3307,22.6227,高雄市,苓雅區三多一路162號(苓雅消防分隊),2013/12/1,1
C0V720,林園,15,120.3945,22.5077,高雄市,林園區林園北路179號(林園區公所),2013/8/1,1
C0V730,大寮,33,120.3957,22.6056,高雄市,大寮區鳳林三路492號(大寮區公所),2013/8/1,1
C0V740,旗山,60,120.4836,22.8886,高雄市,旗山區延平一路499號(旗山區公所),2013/8/1,1
C0V750,路竹,50,120.2594,22.855,高雄市,路竹區國昌路76號(路竹區公所),2013/12/1,1
C0V760,橋頭,30,120.3058,22.7578,高雄市,橋頭區隆豐路1號(橋頭區公所),2013/12/1,1
